STT,nickname,doanDung,tongDuDoan,,,,STT,nickname,doanDung,tongDuDoan,Ti le,,"Top 20 chuyên gia d? ?oán chính xác nh?t
",,,,,,
1374,dinhviethuy,4,77,,,,3,andytran051982,23,44,52.27272727,,,,,,,,
552,dzuy_phung,47,74,,,,392,minhdang1310,83,159,52.20125786,,,,,,,,
821,UyNgoMGDN,43,70,,,,358,Minh0507,19,37,51.35135135,,,,,,,,
1582,tuongnguyen01,0,70,,,,567,BuiTien,20,39,51.28205128,,,,,,,,
51,hungnhidong,8,69,,,,62,DinhNguyenArsenal,46,91,50.54945055,,,,,,,,
69,Swordfish,15,68,,,,22,ngoccan,114,226,50.44247788,,,,,,,,
553,jankent12,52,68,,,,38,Martino_Huy,18,37,48.64864865,,,,,,,,
568,Thanh_stock_ssi,10,68,,,,159,heo_con_xinhxinh,85,180,47.22222222,,,,,,,,
29,StockNoName,3,65,,,,183,Vietseven,56,119,47.05882353,,,,,,,,
302,TD-money,24,65,,,,372,Huyndn,21,45,46.66666667,,,,,,,,
1559,hongtranvu,0,64,,,,309,Lv_maxx,22,48,45.83333333,,,,,,,,
56,ChauN,1,62,,,,340,Zukebear,15,33,45.45454545,,,,,,,,
566,Batbai12,52,62,,,,334,VietAnh88,43,96,44.79166667,,,,,,,,
1230,Madman,43,62,,,,37,TrieuXuanHuy,24,54,44.44444444,,,,,,,,
1423,vinhhemmec,0,58,,,,26,BigMoneyHN02,480,1126,42.62877442,,,,,,,,
27,PrimeCapital,45,56,,,,968,locbillionaire,14,33,42.42424242,,,,,,,,
993,Daigia111191,37,55,,,,296,StockKhongten,13,32,40.625,,,,,,,,
37,TrieuXuanHuy,24,54,,,,263,HuyMon,20,50,40,,,,,,,,
625,GM_NvH,19,54,,,,275,RTSystem,14,35,40,,,,,,,,
409,Minhlq,44,51,,,,264,Bkhero,17,44,38.63636364,,,,,,,,
519,vandinhstock,37,51,,,,17,Phanphan,14,37,37.83783784,,,,,,,,
835,Broker-girldn,32,51,,,,140,Apollo11,16,43,37.20930233,,,,,,,,
263,HuyMon,20,50,,,,914,ToanAlpha,13,35,37.14285714,,,,,,,,
740,ShuzoEndo,41,50,,,,302,TD-money,24,65,36.92307692,,,,,,,,
343,Yaravmh,29,49,,,,1,Tranmanh,50,139,35.97122302,,,,,,,,
1378,TruongDacNguyen,3,49,,,,625,GM_NvH,19,54,35.18518519,,,,,,,,
309,Lv_maxx,22,48,,,,1437,ThaiHa,39,115,33.91304348,,,,,,,,
30,best-trade,11,46,,,,50,VietTraders,76,232,32.75862069,,,,,,,,
42,vitcon,27,45,,,,206,Raymoon,28,89,31.46067416,,,,,,,,
372,Huyndn,21,45,,,,478,Huanho90,14,45,31.11111111,,,,,,,,
478,Huanho90,14,45,,,,497,Sobinat,22,79,27.84810127,,,,,,,,
3,andytran051982,23,44,,,,1467,mi003,33,124,26.61290323,,,,,,,,
264,Bkhero,17,44,,,,715,Bigtrader,10,39,25.64102564,,,,,,,,
25,TuyenLe,32,43,,,,9,LamTungBui,23,94,24.46808511,,,,,,,,
140,Apollo11,16,43,,,,111,Hopdanh,8,33,24.24242424,,,,,,,,
520,moingay1cp,27,42,,,,30,best-trade,11,46,23.91304348,,,,,,,,
995,weisheng,33,42,,,,69,Swordfish,15,68,22.05882353,,,,,,,,
1510,1668472917,1,42,,,,222,warrenking,6,32,18.75,,,,,,,,
1382,Marketviews,0,41,,,,568,Thanh_stock_ssi,10,68,14.70588235,,,,,,,,
113,vantoan1004,26,40,,,,833,Stockdanbo,5,37,13.51351351,,,,,,,,
567,BuiTien,20,39,,,,1400,Hung_Manh,4,33,12.12121212,,,,,,,,
715,Bigtrader,10,39,,,,51,hungnhidong,8,69,11.5942029,,,,,,,,
1184,tradabrothers,24,39,,,,1378,TruongDacNguyen,3,49,6.12244898,,,,,,,,
1395,Phhai0811,0,39,,,,332,vingrupRE,6,107,5.607476636,,,,,,,,
1427,Dangtran_BVSC,0,39,,,,1369,Chartist,2,38,5.263157895,,,,,,,,
1369,Chartist,2,38,,,,1374,dinhviethuy,4,77,5.194805195,,,,,,,,
1444,nguyennam007,0,38,,,,29,StockNoName,3,65,4.615384615,,,,,,,,
17,Phanphan,14,37,,,,533,Tuong_vnd,6,154,3.896103896,,,,,,,,
38,Martino_Huy,18,37,,,,319,HTTri,4,123,3.25203252,,,,,,,,
358,Minh0507,19,37,,,,1390,AlexanderHD7,1,34,2.941176471,,,,,,,,
833,Stockdanbo,5,37,,,,1510,1668472917,1,42,2.380952381,,,,,,,,
1394,Batistuta,0,37,,,,1417,BigBun,2,91,2.197802198,,,,,,,,
1655,Colah28,0,36,,,,1425,Duylv1102,4,234,1.709401709,,,,,,,,
275,RTSystem,14,35,,,,56,ChauN,1,62,1.612903226,,,,,,,,
485,DannyOsvo,25,35,,,,1401,Phongld,3,189,1.587301587,,,,,,,,
914,ToanAlpha,13,35,,,,1376,huyenvo11,0,113,0,,,,,,,,
1359,Jean-007,0,35,,,,1399,astroboy,0,88,0,,,,,,,,
23,DammeCK,20,34,,,,1582,tuongnguyen01,0,70,0,,,,,,,,
1390,AlexanderHD7,1,34,,,,1559,hongtranvu,0,64,0,,,,,,,,
111,Hopdanh,8,33,,,,1423,vinhhemmec,0,58,0,,,,,,,,
340,Zukebear,15,33,,,,1382,Marketviews,0,41,0,,,,,,,,
769,Nhando95,21,33,,,,1395,Phhai0811,0,39,0,,,,,,,,
968,locbillionaire,14,33,,,,1427,Dangtran_BVSC,0,39,0,,,,,,,,
1400,Hung_Manh,4,33,,,,1444,nguyennam007,0,38,0,,,,,,,,
222,warrenking,6,32,,,,1394,Batistuta,0,37,0,,,,,,,,
296,StockKhongten,13,32,,,,1655,Colah28,0,36,0,,,,,,,,
450,dangtranphuc,24,32,,,,1359,Jean-007,0,35,0,,,,,,,,
541,Minhduc97,18,32,,,,,,,,,,,,,,,,
1075,KevinCosner,27,32,,,,,,,,,,,,,,,,
1130,ntuanhungls,22,32,,,,,,,,,,,,,,,,
176,hoamuongbien,0,31,,,,,,,,,,,,,,,,
178,Dautugiatri2018,4,31,,,,,,,,,,,,,,,,
305,huynhvn,1,31,,,,,,,,,,,,,,,,
380,oooTHHTooo,23,31,,,,,,,,,,,,,,,,
406,Alibaba_va_40cogai,25,31,,,,,,,,,,,,,,,,
761,newbiie,12,31,,,,,,,,,,,,,,,,
1205,handsomeboy,1,31,,,,,,,,,,,,,,,,
1308,MonateFunds,22,31,,,,,,,,,,,,,,,,
18,phamvinh126,14,30,,,,,,,,,,,,,,,,
1433,ThienThanhSCO,2,29,,,,,,,,,,,,,,,,
19,Buybomb_and_hold,18,28,,,,,,,,,,,,,,,,
377,phan_em_rev3,17,28,,,,,,,,,,,,,,,,
386,Abcxyz123,12,28,,,,,,,,,,,,,,,,
583,nhathb,16,28,,,,,,,,,,,,,,,,
629,nammophat,17,28,,,,,,,,,,,,,,,,
1442,nikenike,2,27,,,,,,,,,,,,,,,,
82,Ceo_stock,9,26,,,,,,,,,,,,,,,,
134,Gaquay,5,26,,,,,,,,,,,,,,,,
345,caothanh28,12,26,,,,,,,,,,,,,,,,
456,ChiPheoCoPhieu,16,26,,,,,,,,,,,,,,,,
458,CEO_VietNam,3,26,,,,,,,,,,,,,,,,
908,nkhung,7,26,,,,,,,,,,,,,,,,
354,GrowingStocks,8,25,,,,,,,,,,,,,,,,
361,trankhanglap,5,25,,,,,,,,,,,,,,,,
439,Botris,17,25,,,,,,,,,,,,,,,,
550,nguyenhai999,19,25,,,,,,,,,,,,,,,,
576,ThanhAudi,4,25,,,,,,,,,,,,,,,,
1353,Daututhucthu2010,1,25,,,,,,,,,,,,,,,,
1549,Benwin,0,25,,,,,,,,,,,,,,,,
465,dathq,14,24,,,,,,,,,,,,,,,,
474,HeoConStore,17,24,,,,,,,,,,,,,,,,
494,DienNguyen,4,24,,,,,,,,,,,,,,,,
500,dongnguyen129,15,24,,,,,,,,,,,,,,,,
546,Aladin123,21,24,,,,,,,,,,,,,,,,
