,ymd,close,open,high,low,volume,ema3,ema5,ema10,ema14,ema20,ema50,ema200
81,20180116.0,3.0,3.0,3.0,3.0,55000.0,3.266988876565263,3.415179050609552,3.575774476918322,3.658385505926831,3.7523457363703456,3.9716727339284783,
82,20180115.0,3.0,3.0,3.1,2.9,20800.0,3.1334944382826317,3.2767860337397003,3.4710882083877177,3.5706007718032526,3.680693761477932,3.933567920833244,
83,20180112.0,3.1,3.0,3.1,3.0,12300.0,3.1167472191413155,3.217857355826468,3.403617625044496,3.5078540022294855,3.6253895937181286,3.900878982761352,
84,20180110.0,3.1,3.1,3.1,3.0,7700.0,3.1083736095706582,3.1785715705509783,3.3484144204909514,3.4534734685988875,3.5753524895544975,3.8694719638295343,
85,20180109.0,3.1,3.0,3.1,3.0,304.0,3.1041868047853294,3.1523810470339853,3.303248162219869,3.406343672785703,3.53008082388264,3.839296592698964,
86,20180108.0,3.0,3.0,3.0,2.9,4300.0,3.052093402392665,3.101587364689324,3.248112132725348,3.3521645164142755,3.4795969358938184,3.8063830008284167,
87,20180105.0,3.0,3.0,3.0,3.0,700.0,3.026046701196332,3.067724909792883,3.203000835866194,3.3052092475590396,3.433921037237264,3.774760138050832,
88,20180104.0,3.0,2.9,3.0,2.8,1700.0,3.0130233505981656,3.045149939861921,3.1660915929814313,3.2645146812178334,3.392595224167048,3.744377387539034,
89,20180103.0,2.9,2.9,2.9,2.9,10300.0,2.956511675299083,2.9967666265746145,3.1177113033484436,3.2159127237221226,3.345681393293996,3.7112645488120135,
90,20180102.0,2.9,2.9,3.0,2.9,18300.0,2.928255837649542,2.9645110843830764,3.078127430012363,3.1737910272258394,3.303235546313616,3.67945025278017,
91,20171229.0,3.2,2.8,3.2,2.8,8800.0,3.0641279188247705,3.0430073895887175,3.1002860791010245,3.177285556929061,3.293403589521843,3.660648282082908,
92,20171228.0,3.0,2.7,3.0,2.7,21600.0,3.032063959412385,3.028671593059145,3.0820522465372013,3.1536474826718526,3.2654603905197623,3.634740506314951,
93,20171227.0,3.0,3.0,3.0,3.0,2000.0,3.016031979706193,3.0191143953727635,3.06713365625771,3.1331611516489395,3.2401784485654987,3.609848721753581,
94,20171226.0,3.0,3.0,3.2,3.0,49500.0,3.008015989853096,3.0127429302485087,3.0549275369381266,3.115406331429081,3.2173043106068797,3.585933085606382,
95,20171225.0,3.1,3.1,3.1,3.1,42000.0,3.054007994926548,3.041828620165673,3.0631225302221035,3.113352153905203,3.2061324715014634,3.5668768861708364,
96,20171222.0,3.2,3.2,3.2,3.2,2400.0,3.1270039974632735,3.0945524134437816,3.0880093429089936,3.1249052000511757,3.205548426596562,3.552489557301392,
